lambda_tilde_mode.4.1,lambda_tilde_mode.4.10,lambda_tilde_mode.4.11,lambda_tilde_mode.4.12,lambda_tilde_mode.4.13,lambda_tilde_mode.4.14,lambda_tilde_mode.4.15,lambda_tilde_mode.4.16,lambda_tilde_mode.4.17,lambda_tilde_mode.4.18,lambda_tilde_mode.4.19
0.0004643,0.00185294,0.0147277,0.0525439,0.00400804,0.010323,0.0357611,0.0120899,0.20172,0.000569749,0.080081
0.00077432,0.00386056,0.026071,0.0215068,0.00457664,0.000822646,0.0590773,0.0499507,0.0337131,0.000406899,0.0010767
0.00152626,0.0231246,0.00754668,0.127223,0.0127715,0.00561904,0.109322,0.242861,0.060599,0.0000960816,0.098019
0.000693758,0.0440135,0.0142362,0.000572373,0.000893759,0.00377256,0.0129167,0.0204934,0.00983856,0.00200875,0.00576859
0.00753003,0.028596,0.00946995,0.000762792,0.00127283,0.00149687,0.105543,0.00969157,0.00814393,0.000478404,0.0386882
0.00149688,0.00050228,0.00720247,0.0015649,0.000827786,0.00453404,0.0258407,0.00236399,0.010108,0.0211779,0.0001381
0.0118232,0.0115112,0.00313242,0.00200291,0.000217385,0.00815723,0.0188965,0.0388349,0.0346835,0.0000882169,0.000181268
0.00661082,0.0170799,0.130218,0.000690049,0.00949239,0.00321747,0.014289,0.00617681,0.00148792,0.000644227,0.010199
0.00509673,0.000810216,0.0236371,0.000275484,0.00319157,0.054144,0.0759919,0.00943353,0.0059339,0.000062255,0.00330903
0.000948189,0.0218384,0.290338,0.000564989,0.00836176,0.000558496,0.0293169,0.00511788,0.0635906,0.00200942,0.00333547
0.000867431,0.000181597,0.187676,0.00350564,0.00022746,0.00284672,0.064841,0.252614,0.0206306,0.0012256,0.001349
0.000648571,0.0041672,0.0845893,0.00245379,0.0363209,0.0869611,0.00786997,0.001301,0.0487727,0.000749234,0.0111142
0.089712,0.00281229,0.105591,0.0202041,0.000318618,0.00252044,0.0325111,0.0096307,0.00453369,0.00806813,0.00401403
0.00793039,0.00415254,0.109959,0.0271188,0.00637513,0.000523534,0.118441,0.377988,0.00608244,0.00072699,0.00449913
0.0669499,0.011808,0.738215,0.00644653,0.0133391,0.0449708,0.256821,0.00506039,0.0127115,0.001465,0.0251798
0.00248668,0.000184936,0.150962,0.000518061,0.00111169,0.00613202,0.0232497,0.0085909,0.400524,0.00234747,0.0417487
0.00797754,0.00251037,0.00645897,0.0329521,0.000199928,0.0007035,0.0350502,0.0102077,0.003487,0.00623084,0.0062285
0.00133853,0.0551724,0.0137054,0.00103182,0.00158705,0.00174018,0.23796,0.203226,0.021134,0.000835858,0.00354309
0.00214184,0.00788013,0.0535457,0.00289685,0.00124778,0.00470317,0.0267609,0.010237,0.00104456,0.00216508,0.0120875
0.000560712,0.00591739,0.426446,0.000294663,0.00348872,0.000492728,0.0691777,0.00322231,0.0220497,0.00017402,0.00158874
0.0572146,0.00495173,0.0206841,0.0342957,0.000330499,0.00709016,0.00784026,0.0233917,0.00339409,0.000751523,0.00556472
0.00139222,0.149379,0.123929,0.00142251,0.00230341,0.00756223,0.0157916,0.0077187,0.0178877,0.000708386,0.263643
0.00331473,0.000441022,0.0535384,0.00350166,0.000844042,0.00159017,0.0942274,0.0305678,0.00779716,0.00281044,0.0108325
0.00224792,0.0117664,0.00222856,0.00065032,0.00909282,0.017068,0.260745,0.00489049,0.499676,0.00330622,0.0572315
0.00122699,0.00109924,0.0127212,0.00395973,0.000160678,0.0206829,0.0942231,0.016223,0.00768047,0.0183831,0.0171774
0.0197391,0.0000993114,0.0411541,0.00121525,0.0313362,0.00751622,0.0641415,0.00944435,0.0138253,0.000765317,0.0069821
0.000154107,0.00185708,0.119311,0.0348407,0.00199517,0.00490969,0.0680711,0.00469572,0.0101998,0.00125439,0.000884028
0.000558927,0.00184215,0.21041,0.00273654,0.00686508,0.00155476,0.0179597,0.224607,0.0170225,0.00975419,0.116209
0.00177968,0.0494072,0.0721185,0.00405159,0.0176559,0.00147387,0.0149393,0.020419,0.0019468,0.00167742,0.00875603
0.00321581,0.000757336,0.0616103,0.0166964,0.000402371,0.00623176,0.0290591,0.0163962,0.14288,0.000592986,0.00350206
0.00116952,0.0195709,0.104207,0.00184646,0.000147985,0.00104639,0.0466415,0.0166798,0.0297265,0.0682992,0.00412926
0.00085966,0.00609796,0.0102875,0.000219534,0.000523031,0.00121345,0.0440483,0.00236967,0.0150129,0.000807987,0.000962617
0.000854142,0.0195231,0.0121022,0.00216886,0.00168043,0.00148609,0.116392,0.0181674,0.00862934,0.000636997,0.105614
0.000223107,0.0024812,0.155976,0.00902759,0.000498664,0.00535322,0.0705511,0.0190318,0.0143756,0.00691104,0.0619519
0.0000394085,0.000658929,0.0462667,0.0952555,0.00679389,0.0236003,0.0564561,0.0111556,0.00474699,0.0110324,0.00330369
0.0029063,0.00044293,0.0470645,0.00525129,0.0012472,0.00706138,0.00383915,0.00618209,0.022509,0.00278731,0.152076
0.00357407,0.000465394,0.00537513,0.00179902,0.000233686,0.000822036,0.071931,0.00736828,0.0152242,0.0159583,0.00139829
0.00311295,0.00159847,0.329681,0.000674049,0.0010171,0.014798,0.142957,0.0366029,0.00652614,0.000974961,0.0060466
0.000644113,0.0291057,0.0409406,0.00390418,0.00355413,0.000297376,0.0628068,0.16974,0.0281271,0.00981317,0.00350474
0.000962764,0.00293333,0.118194,0.0276254,0.000379879,0.00144547,0.175898,0.00657583,0.0566302,0.00161377,0.00060155
0.00180095,0.0108897,0.00295492,0.00607707,0.00297319,0.00395077,0.0193501,0.0272161,0.0144991,0.00450248,0.00429279
0.00972918,0.00215616,0.0017305,0.00481697,0.0010363,0.00148678,0.120028,0.00852288,0.0185808,0.0112666,0.0187267
0.028699,0.000785453,0.0636898,0.00459736,0.000135156,0.0154298,0.0255521,0.0833297,0.154354,0.000704478,0.0427186
0.00169168,0.00309846,0.312454,0.00624836,0.00190339,0.00323987,0.0271959,0.0191961,0.00493303,0.0013546,0.00512346
0.00160454,0.000433602,0.0483645,0.0263552,0.00267862,0.000245416,0.151971,0.00644735,0.107414,0.000508477,0.0249281
0.000591651,0.0379484,0.00278247,0.0176349,0.000550824,0.000238685,0.01289,0.0281381,0.0225816,0.0108911,0.322676
0.000863117,0.00638224,0.0294653,0.000200594,0.0000814232,0.00668119,0.0666992,0.113148,0.00553282,0.00690996,0.00545327
0.000152062,0.0257069,0.0158781,0.00309864,0.0124119,0.000884102,0.0744847,0.0290239,0.00586845,0.00337259,0.0471316
0.00220799,0.00040538,0.0380063,0.00307206,0.00639554,0.00109372,0.0798496,0.00413584,0.00263225,0.000549493,0.000273937
0.00739871,0.00568303,0.0136299,0.00843968,0.00148746,0.0185642,0.185062,0.0528415,0.0124672,0.0332837,0.200402
0.00313502,0.00255062,0.353738,0.0000148913,0.0000119702,0.024279,0.0603334,0.0881407,0.00715581,0.00219055,0.0131398
0.000822887,0.00125517,0.0293644,0.00132648,0.00439391,0.00791767,0.0259266,0.0757602,0.00947896,0.0412591,0.000729482
0.00117635,0.00197355,0.505576,0.0517331,0.0248107,0.000956767,0.0516998,0.00415718,0.0330033,0.0026649,0.0136655
0.000263303,0.0193059,0.0341287,0.001012,0.00137684,0.00801858,0.029823,0.00831776,0.0745728,0.000573212,0.00289726
0.00114693,0.00217688,0.104198,0.00486351,0.00584067,0.0120791,0.0826314,0.023333,0.00146731,0.0013451,0.00100819
0.00140311,0.00180247,0.141266,0.00166254,0.000265449,0.00363981,0.00871557,0.125362,0.000899184,0.0312327,0.13709
0.00108708,0.0087583,1.05735,0.029707,0.000334758,0.00116614,0.34679,0.0228427,0.010385,0.00138464,0.00225608
0.00504459,0.0175854,0.229429,0.00251862,0.00280199,0.00153482,0.0134896,0.0160921,0.0312831,0.0209151,0.00269014
0.000280631,0.00106744,0.0223484,0.00313341,0.0162826,0.00128439,0.0485361,0.00749916,0.00758661,0.00447239,0.00370904
0.000109143,0.0131702,0.230742,0.00486337,0.000673263,0.00180652,0.0610703,0.00150391,0.00404694,0.00265445,0.0029244
0.000260511,0.017717,0.0513728,0.102734,0.0000824231,0.00878123,0.00304714,0.231788,0.00499387,0.00136342,0.0180719
0.00305238,0.0338877,0.226346,0.00531849,0.00067642,0.00321317,0.0285371,0.00940498,0.0281229,0.00575984,0.00248424
0.0491905,0.00822481,0.0135794,0.0219802,0.00483158,0.0695704,0.0291708,0.00537647,0.10148,0.00107112,0.000552302
0.0176989,0.0208763,0.00718116,0.192516,0.0172058,0.00100314,0.944175,0.0166744,0.00179409,0.00272031,0.0280544
0.00890669,0.00354586,0.0185804,0.00281788,0.000615858,0.00787248,0.00797525,0.00740707,0.253381,0.0355232,0.0256034
0.00128053,0.0289135,0.243916,0.031034,0.00390084,0.00153574,0.24282,0.0268937,0.0692605,0.00296311,0.00514697
0.00321799,0.0145684,0.801931,0.000270272,0.00035165,0.000659201,0.045327,0.00163733,0.0638045,0.00323451,0.101133
0.0125605,0.00929158,0.0227675,0.000674923,0.00364706,0.00933957,0.0610012,0.0191172,0.0431289,0.000445042,0.33188
0.000850078,0.00619726,0.131595,0.000889666,0.00144868,0.00735155,0.0178766,0.0208906,0.0614265,0.00178522,0.00220753
0.00987708,0.0595067,0.0454847,0.0115383,0.00212753,0.00368747,0.215654,0.00470209,0.00523922,0.00356967,0.00458452
0.0224514,0.00230137,0.0124498,0.00190516,0.0172255,0.118702,0.0203693,0.0160979,0.0118609,0.00449419,0.00327695
0.0000927507,0.000298654,0.0219465,0.000307684,0.00346293,0.0120976,0.0158154,0.00152068,0.0079688,0.198203,0.000529937
0.000815425,0.0205861,0.0350559,0.0191473,0.00209096,0.00520302,0.0174232,0.00264834,0.0295963,0.00619939,0.00468083
0.00621819,0.041601,0.113345,0.0318221,0.0101112,0.00622197,0.0508319,0.0394505,0.00766686,0.00274773,0.00325421
0.00201886,0.00188605,0.00882404,0.00152084,0.000788496,0.00295688,0.0629895,0.31477,0.00103883,0.000387424,0.00158449
0.00602195,0.00108423,0.0100211,0.0211425,0.0030783,0.0307967,0.100534,0.00702615,0.00547697,0.0114285,0.00271888
0.00626586,0.00313629,0.0150193,0.0000798018,0.000398141,0.00509518,0.14252,0.00727956,0.0137523,0.000709552,0.0108626
0.0124984,0.000172176,0.0163585,0.0175989,0.00323568,0.062547,0.0691965,0.00330035,0.339633,0.019316,0.0117976
0.00246043,0.188954,0.00431326,0.115378,0.00220892,0.000587287,0.117455,0.0826814,0.000440561,0.00390261,0.00244768
0.00173864,0.0101731,0.00897267,0.00189414,0.000774488,0.00955733,0.144959,0.0395485,0.0134772,0.0241532,0.000906591
0.000246533,0.00099574,0.342862,0.00163031,0.00132376,0.0158522,0.14164,0.00521778,0.00355327,0.00114299,0.0192736
0.000119564,0.00245857,0.0959924,0.00176308,0.0343958,0.00598361,0.0594018,0.051505,0.00827656,0.00106651,0.0269626
0.000177359,0.000818416,0.0747066,0.000250996,0.00876396,0.00595591,0.0401311,0.0143993,0.0590065,0.00405141,0.00222786
0.000370892,0.0456585,0.174805,0.00641934,0.00582945,0.00482231,0.248278,0.00252955,0.0533414,0.00927915,0.019955
0.0127121,0.0584773,0.005863,0.0202336,0.000811702,0.000368923,0.090602,0.0523392,0.281258,0.00325554,0.0282652
0.000584962,0.00170506,0.0357309,0.00258985,0.00251554,0.00116525,0.0329477,0.00917259,0.0137812,0.000485081,0.000865921
0.000877056,0.0103319,0.0319807,0.00021693,0.000140736,0.000541263,0.0288935,0.0120922,0.0177619,0.00291319,0.0149662
0.000728063,0.0153478,0.45567,0.00946971,0.00185119,0.00563003,0.0758047,0.0405845,0.00415001,0.0000412964,0.0016268
0.0332179,0.00245287,0.0201099,0.00374211,0.00357362,0.00119264,0.0228099,0.0533554,0.0188152,0.00228571,0.00585569
0.000114696,0.0010753,0.122692,0.00421873,0.000918534,0.00276169,0.013189,0.0262525,0.00250068,0.00806599,0.000250753
