lambda_tilde_mode.4.1,lambda_tilde_mode.4.10,lambda_tilde_mode.4.11,lambda_tilde_mode.4.12,lambda_tilde_mode.4.13,lambda_tilde_mode.4.14,lambda_tilde_mode.4.15,lambda_tilde_mode.4.16,lambda_tilde_mode.4.17,lambda_tilde_mode.4.18,lambda_tilde_mode.4.19
0.0000320857,0.000049991,0.0000103108,0.000227035,0.000363067,0.000215992,0.0000282109,0.000529026,0.0000241783,0.000288281,0.0000197971
0.0000316057,0.0000497444,0.0000103137,0.000229948,0.000360153,0.000211935,0.0000288416,0.000522266,0.0000241632,0.00027408,0.0000203844
0.0000319355,0.0000479105,9.95937e-6,0.000220373,0.000363363,0.000216625,0.0000292136,0.000527641,0.0000244687,0.000273089,0.0000216588
0.0000317895,0.0000482562,0.0000100468,0.000219065,0.000368407,0.000212134,0.0000297001,0.000541066,0.0000234319,0.000274961,0.0000226019
0.0000361139,0.0000447089,9.76124e-6,0.000220453,0.000375416,0.000204171,0.0000308409,0.000536183,0.0000236535,0.000278456,0.0000216691
0.000036506,0.0000457772,9.80519e-6,0.000213158,0.000383368,0.000206392,0.0000307018,0.000523929,0.0000239768,0.000281484,0.0000214282
0.0000369219,0.00004521,9.49481e-6,0.000206861,0.000394183,0.000209541,0.00003065,0.000514582,0.0000237465,0.000285619,0.0000203835
0.0000386741,0.0000446564,9.5588e-6,0.000199818,0.000377792,0.000208548,0.0000296421,0.000495264,0.0000234796,0.000285917,0.0000205952
0.0000387913,0.0000418449,9.35727e-6,0.000195838,0.00036926,0.000216905,0.0000307559,0.000475484,0.000022657,0.000282885,0.0000212228
0.0000365567,0.0000407821,9.3169e-6,0.000196487,0.000375418,0.000217677,0.0000300795,0.000467102,0.0000221965,0.000284705,0.0000198407
0.0000354228,0.0000422544,9.5069e-6,0.000189444,0.000380822,0.000223462,0.0000315428,0.000466418,0.0000226627,0.000288401,0.0000191317
0.0000361965,0.0000435446,9.15155e-6,0.000190158,0.000365373,0.000221574,0.0000312465,0.000494999,0.0000222763,0.000301844,0.0000196788
0.0000382096,0.0000421958,8.90777e-6,0.000192727,0.0003728,0.000213523,0.000033804,0.000467545,0.0000226488,0.000316684,0.0000204465
